county,level,school_name,lat,lon,address
Private,PK-12,Collegiate School,37.5753,-77.5897,"103 N Mooreland Rd, Richmond, VA 23229"
Private,JK-12,St. Christopher's School,37.5744,-77.5156,"711 St Christophers Rd, Richmond, VA 23226"
Private,Age 3-12,St. Catherine's School,37.5703,-77.5097,"6001 Grove Ave, Richmond, VA 23226"
Private,JK-12,The Steward School,37.6186,-77.6192,"11600 Gayton Rd, Henrico, VA 23238"
Private,12-Aug,Trinity Episcopal School,37.5219,-77.5308,"3850 Pittaway Dr, Richmond, VA 23235"
Private,12-Sep,Saint Gertrude High School,37.5792,-77.6569,"12829 River Rd, Richmond, VA 23238"
Private,12-Sep,Benedictine College Preparatory,37.5792,-77.6569,"12829 River Rd, Richmond, VA 23238"
Private,JK-12,Veritas School,37.5794,-77.4472,"3400 Brook Rd, Richmond, VA 23227"
Private,K-12,The New Community School,37.5861,-77.4597,"4211 Hermitage Rd, Richmond, VA 23227"
Private,PK-12,Millwood School,37.4094,-77.6694,"15100 Millwood School Ln, Midlothian, VA 23112"
Private,PK-12,Blessed Sacrament Huguenot School,37.5458,-77.8286,"2501 Academy Rd, Powhatan, VA 23139"
Private,PK-8,St. Michael's Episcopal School,37.535,-77.565,"10510 Hobby Hill Road, Richmond, VA 23235"
Private,PK-8,Sabot at Stony Point,37.5469,-77.5456,"3400 Stony Point Rd, Richmond, VA 23235"
Private,8-May,Orchard House School,37.5564,-77.4608,"500 N Allen Ave, Richmond, VA 23220"
Private,PK-8,St. Edward-Epiphany Catholic School,37.53,-77.56,"10701 West Huguenot Road, Richmond, VA 23235"
Private,PK-8,St. Bridget Catholic School,37.5739,-77.5028,"6011 York Rd, Richmond, VA 23226"
Private,PK-8,St. Mary's Catholic School,37.6047,-77.5794,"9501 Gayton Rd, Henrico, VA 23229"
Private,PK-8,Our Lady of Lourdes Catholic School,37.6256,-77.4886,"8250 Woodman Rd, Henrico, VA 23228"
