county,level,school_name,lat,lon,address
Chesterfield,Middle,Swift Creek Middle School,,,"3700 Old Hundred Rd S, Midlothian, VA 23112"
Chesterfield,Middle,Tomahawk Creek Middle School,,,"1600 Learning Pl, Midlothian, VA 23114"
Goochland,Elementary,Byrd Elementary School,,,"2704 Hadensville Fife Rd, Goochland, VA 23063"
Goochland,Elementary,Goochland Elementary School,,,"2000 Bulldog Way, Goochland, VA 23063"
Goochland,Elementary,Randolph Elementary School,,,"1552 Sheppard Town Rd, Crozier, VA 23039"
Goochland,Middle,Goochland Middle School,,,"3250 River Rd W, Goochland, VA 23063"
Goochland,High,Goochland High School,,,"3250 River Rd W, Goochland, VA 23063"
Powhatan,Elementary,Flat Rock Elementary School,,,"2210 Batterson Rd, Powhatan, VA 23139"
Powhatan,Elementary,Pocahontas Elementary School,,,"4294 Anderson Hwy, Powhatan, VA 23139"
Powhatan,Elementary,Powhatan Elementary School,,,"4111 Old Buckingham Rd, Powhatan, VA 23139"
Powhatan,Middle,Powhatan Middle School,,,"4135 Old Buckingham Rd, Powhatan, VA 23139"
Powhatan,High,Powhatan High School,,,"1800 Judes Ferry Rd, Powhatan, VA 23139"
Caroline,Elementary,Bowling Green Elementary School,,,"17502 New Baltimore Road, Milford, VA 22514"
Caroline,Elementary,Lewis and Clark Elementary School,,,"18101 Clark And York Blvd, Ruther Glen, VA 22546"
Caroline,Elementary,Madison Elementary School,,,"9075 Chance Place, Ruther Glen, VA 22546"
Caroline,Middle,Caroline Middle School,,,"13325 Devils Three Jump Rd, Milford, VA 22514"
Caroline,High,Caroline High School,,,"19155 Rogers Clark Blvd, Milford, VA 22514"
New Kent,Elementary,George W. Watkins Elementary School,,,"6501 New Kent Hwy, Quinton, VA 23141"
New Kent,Elementary,New Kent Elementary School,,,"11705 New Kent Hwy, New Kent, VA 23124"
New Kent,Elementary,Quinton Elementary School,,,"8325 S. Quaker Rd, Quinton, VA 23141"
New Kent,Middle,New Kent Middle School,,,"7501 Egypt Rd, New Kent, VA 23124"
New Kent,High,New Kent High School,,,"7365 Egypt Rd, New Kent, VA 23124"
New Kent,Other,Bridging Communities STEM Academy,,,"7930 New Chipping Lane, New Kent, VA 23124"
Regional,High,CodeRVA Regional High School,,,"1405 Cummings Dr, Richmond, VA 23220"
Regional,High,Maggie L. Walker Governor's School,,,"1000 N Lombardy St, Richmond, VA 23220"
Private,PK-12,Collegiate School,,,"103 N Mooreland Rd, Richmond, VA 23229"
Private,JK-12,St. Christopher's School,,,"711 St Christophers Rd, Richmond, VA 23226"
Private,Age 3-12,St. Catherine's School,,,"6001 Grove Ave, Richmond, VA 23226"
Private,JK-12,The Steward School,,,"11600 Gayton Rd, Henrico, VA 23238"
Private,12-Aug,Trinity Episcopal School,,,"3850 Pittaway Dr, Richmond, VA 23235"
Private,12-Sep,Saint Gertrude High School,,,"12829 River Rd, Richmond, VA 23238"
Private,12-Sep,Benedictine College Preparatory,,,"12829 River Rd, Richmond, VA 23238"
Private,JK-12,Veritas School,,,"3400 Brook Rd, Richmond, VA 23227"
Private,K-12,The New Community School,,,"4211 Hermitage Rd, Richmond, VA 23227"
Private,PK-12,Millwood School,,,"15100 Millwood School Ln, Midlothian, VA 23112"
Private,PK-12,Blessed Sacrament Huguenot School,,,"2501 Academy Rd, Powhatan, VA 23139"
Private,PK-8,St. Michael's Episcopal School,,,"10510 Hobby Hill Road, Richmond, VA 23235"
Private,PK-8,Sabot at Stony Point,,,"3400 Stony Point Rd, Richmond, VA 23235"
Private,8-May,Orchard House School,,,"500 N Allen Ave, Richmond, VA 23220"
Private,PK-8,St. Edward-Epiphany Catholic School,,,"10701 West Huguenot Road, Richmond, VA 23235"
Private,PK-8,St. Bridget Catholic School,,,"6011 York Rd, Richmond, VA 23226"
Private,PK-8,St. Mary's Catholic School,,,"9501 Gayton Rd, Henrico, VA 23229"
Private,PK-8,Our Lady of Lourdes Catholic School,,,"8250 Woodman Rd, Henrico, VA 23228"
